iter	Passed	Remaining
375	627	1040
376	627	1037
377	628	1034
378	629	1031
379	630	1028
380	630	1024
381	631	1021
382	632	1018
383	633	1015
384	633	1012
385	634	1009
386	635	1005
387	635	1002
388	636	999
389	637	996
390	637	993
391	638	990
392	639	987
393	639	984
394	640	981
395	641	978
396	642	975
397	643	972
398	643	969
399	644	966
400	645	964
401	646	961
402	646	958
403	647	955
404	648	952
405	648	949
406	649	946
407	650	943
408	650	940
409	651	937
410	652	934
411	652	931
412	653	929
413	654	926
414	655	923
415	655	920
416	657	918
417	657	915
418	658	913
419	659	910
420	660	907
421	660	905
422	661	902
423	662	899
424	663	897
425	663	894
426	664	891
427	665	889
428	665	886
429	666	883
430	667	881
431	667	878
432	668	875
433	669	873
434	670	870
435	670	867
436	671	865
437	672	862
438	673	860
439	673	857
440	674	855
441	675	852
442	676	850
443	677	848
444	678	845
445	678	843
446	679	840
447	680	838
448	681	835
449	681	833
450	682	831
451	683	828
452	684	826
453	684	823
454	685	821
455	686	818
456	686	816
457	687	813
458	688	811
459	689	809
460	690	806
461	690	804
462	691	802
463	692	799
464	693	797
465	693	795
